STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/15/13,5.6,0,22.2,12.2,195
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/16/13,8.1,0,28.3,13.3,163
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/17/13,4.8,0,30,18.9,109
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/18/13,7.9,0,31.1,20,220
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/19/13,11.7,50.8,28.9,6.1,285
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/20/13,5.6,0,12.8,1.7,126
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/21/13,3.3,0,18.9,2.8,71
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/22/13,7.1,0,21.7,5.6,100
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/23/13,7.1,0,23.9,7.8,109
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/24/13,13.2,33.3,25,6.7,224
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/25/13,3,1,12.2,1.1,97
USC00404562,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/26/2013,11.3,9.7,18.2,6.9,79.9
USC00404563,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/27/2013,9.2,41.6,21.8,10.4,93.6
USC00404564,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/28/2013,15.1,9.3,17.9,11.3,87.1
USC00404565,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/29/2013,28.1,0,23.7,8.1,78.6
USC00404566,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/30/2013,27.8,0,25.2,10.6,77.2
USC00404567,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/1/2013,18.3,0,23,15.7,90.9
USC00404568,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/2/2013,16.4,0.8,23.2,14.4,83.5
USC00404569,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/3/2013,9.9,39.2,18.7,3.3,91.4
USC00404570,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/4/2013,24.1,4,14.9,3.1,78.2
USC00404571,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/5/2013,16.3,2.3,13.8,6.2,89
USC00404572,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/6/2013,9.5,3.2,16.5,7.5,92.2
USC00404573,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/7/2013,18.8,0.1,22,10.6,82.7
USC00404574,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/8/2013,25.9,0,25.4,11.8,76.8
USC00404575,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/9/2013,21.6,6.5,25.7,14.8,83.6
USC00404576,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/10/2013,12,33.3,23,16.8,90.6
USC00404577,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/11/2013,20.3,0.9,20.5,13.4,80.4
USC00404578,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/12/2013,31.2,0,17.2,7.1,63.9
USC00404579,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/13/2013,29.2,0,21.5,6.6,66.9
USC00404580,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/14/2013,28.9,0,26.7,11,82.4
USC00404581,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/15/2013,27.9,0,26.4,14.6,80.2
USC00404582,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/16/2013,19.3,2.8,26,16.9,85.3
USC00404583,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/17/2013,8.2,26.5,24.2,17.2,94.4
USC00404584,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/18/2013,19.6,0.6,28.2,17.6,84.9
USC00404585,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/19/2013,23.5,0,28.3,20.5,86
USC00404586,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/20/2013,20.4,4.2,26.6,18.9,90.7
USC00404587,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/21/2013,13,56.8,25.6,20.1,94.4
USC00404588,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/22/2013,15.8,0.4,24.7,17.1,85.6
USC00404589,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/23/2013,27.1,0,24.7,14.7,81.6
USC00404590,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/24/2013,31.5,0,21.5,10.4,75.3
USC00404591,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/25/2013,28.3,0,25.1,8.7,69.9
USC00404592,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/26/2013,29.4,0,26.4,14.2,74.8
USC00404593,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/27/2013,22.7,0,26.2,16.7,82.9
USC00404594,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/28/2013,29.6,0,27.5,17.7,79.4
USC00404595,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/29/2013,26.2,0,28.5,16.5,83
USC00404596,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/30/2013,19.5,11.1,25.9,21,89
USC00404597,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/31/2013,14.6,14.8,27.6,21,88.4
USC00404598,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/1/2013,12.1,11.1,28,20.8,89.2
USC00404599,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/2/2013,18.3,5,25.8,16.4,82.8
USC00404600,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/3/2013,24.6,0,24.5,15.7,83.2
USC00404601,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/4/2013,26.2,0.3,27.8,14.3,79.1
USC00404602,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/5/2013,17.3,14,29.1,19.5,86.1
USC00404603,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/6/2013,18.4,0.9,26.9,19.8,84.4
USC00404604,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/7/2013,18.8,0,24.6,17.8,83.2
USC00404605,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/8/2013,24.4,1.2,26.3,16.1,77.4
USC00404606,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/9/2013,20.1,24.2,27.5,18.1,90
USC00404607,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/10/2013,25.5,2.2,28.8,18,84.5
USC00404608,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/11/2013,28.8,0,31.7,21.3,84.3
USC00404609,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/12/2013,28.6,0,32,21.6,83.5
USC00404610,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/13/2013,26.5,0.2,30.2,18.6,82.7
USC00404611,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/14/2013,30.2,0,27,16.6,78.8
USC00404612,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/15/2013,27.3,0,29.4,16.8,73.6
USC00404613,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/16/2013,16.8,0.1,30,20.8,81
USC00404614,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/17/2013,16.2,28.4,27.3,22.2,92.7
USC00404615,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/18/2013,19.3,1.8,27.4,20.2,83.6
USC00404616,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/19/2013,28.3,0.2,29.9,18.5,74.1
USC00404617,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/20/2013,27.2,0,30.5,20.7,74.5
USC00404618,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/21/2013,28.2,0,30,20.4,82.1
USC00404619,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/22/2013,27.1,0,29.9,20,79.9
USC00404620,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/23/2013,25.9,0,31.1,19.1,76
USC00404621,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/24/2013,25.7,0,31.1,20.5,78.6
USC00404622,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/25/2013,23.1,0,29.5,22.2,84.4
USC00404623,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/26/2013,25.3,2,31.2,22,81.9
USC00404624,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/27/2013,28.7,1,32.5,23,80.4
USC00404625,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/28/2013,18,9.2,29,22.2,85.3
USC00404626,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/29/2013,28.6,0,28.8,19.1,78.2
USC00404627,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/30/2013,23.1,0.5,25.3,17.8,82.9
USC00404628,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/1/2013,14.8,5,24.6,17.5,88.5
USC00404629,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/2/2013,21.7,0.2,25.9,16.9,82
USC00404630,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/3/2013,23.8,0,27,15.3,78.1
USC00404631,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/4/2013,15.4,1,23.7,17.7,90.3
